Unnamed: 0,Steming
1,selamat
2,kakak maribelajar uang saku
3,tolong tag kakak
5,kakmaaf kakak
6,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih
7,juta bulan
8,scraping bahasa python
9,kakak ayo ikut giat
10,takut narsumnya
11,mantaaap kakak lupa hadirr
13,main menkrep
14,paket kursus cepat
15,hi kakak latih batchnya
16,lembaga daftar perintah
17,sertifikat daftar bnsp
18,halo kakak usaha daftar lembaga latih kerja teknologi informasi komunikasi swasta indonesia
19,power bi pakai teliti kualitatif wawancara susun makna dll ukur puas tamu kualitatif
20,coba daftar koq adacemail masuk iya
21,kakak analisis kualitatif power bi text analysts ukur feedback tamu sentiment analysis power bi contoh ukur feedback positif negatif ajar ayo daftar ikut webinar analisis data power bi tunggu hadir kakak
22,hi kakak mohon maaf tidak nyaman masuk kotak masuk email tim kirim via whatsapp mohon periksa kakak terima kasih
23,masuk wa bayar
24,bagus wa intens website webiste wa
26,hi kakak tunggu unggah turn on notifications lewat
28,habis kuota
29,uang saku min
30,izin min jadwal ajar
31,offering mitra tanggal kakak
32,umum yad status pendaftatanku ubah masihsudah daftar
33,ayo bismillah maribelajar proses pendaftarankuubiar terima disiniii
34,kelompok ajar kakak
35,uang bantu uang saku kakak
36,lolos kakak
37,lolos kakak
38,lolos kakak
39,ambil kakak
40,microsoft platform developer
41,umum mana kakak
42,gmail cek web kampus merdeka kakak
43,samaa kakak
44,info info kelompok wa
45,beluum kakak
46,adminnya informasi sampein waemail kelompok officialnya
47,lolos msib ambil tawar mari ajar microsoft
48,kakak kelompok wa coba cek
49,lolos kakak
50,wahh keren banget kakak
51,mantab
52,izin share kakak
53,sila kakak
54,kereeen
55,selamat maribelajar bangga mentee maribelajar batch
56,terima kasih kakak ajar tumbuh
57,terima kasih kakak
59,mbak ningggg
60,min offline
61,what language is it
62,indonesian
63,cek pesan
64,done kakak
65,cek pesan min
66,cek pesan
67,cek pesan kakak mohon
68,umum lolos studi independen min
69,hi dear umum terima platform kampus merdeka tanggal februari mohon cek akun kala
70,done kakak
71,kakak
72,done kakak
73,terimakasih kakak admin informasi
74,kakak izin terima terang platform proses ubah
75,maaf kakak cek pesan
76,min mohon cek pesan terimakasih
77,min mohon cek pesan terimakasih
78,lolos program sib masuk kelompok
79,halo kakak grup
80,lolos
81,cek pesan kakak
82,lolos informasi email
84,cek pesan min
85,lolos komunikasi microsoft teams kelompok watele
86,titip kakak
87,kka lolos
88,kakak lolos
89,lolos kakak
90,lolos kakak
91,cek pesan kakak
92,lolos kakak
93,hi kakak email mohondapat periksa inboxspam email kakak terima kasih
94,kakak terima kasih
95,min online offline
96,umum min
97,hi kakak mohon kenan tunggu terima kasih
98,hi kakak laksana ajar sepenuh jalan online terima kasih
99,lanjut seleksi tes min teman email tes
100,hi kakak uji wawas bineka email pretest arah periksa spam kakak terima kasih
101,kakak pre test daftar posisi
102,kakak lulus berkas spjtm kelulus pengaruh
103,oohhh min
104,hi dear daftar buka daftar beberapa jalur ajar hasil pilih
105,hi dear berkas sesuai syarat tentu
106,min maksud proses seleksi mahasiswa platform platform seleksi survey kebhinekaan
107,kakak email pre test nyata lolos
108,uang saku
109,min tes webnya nyandet min kurang gabisa ulang min koneksi lancar
110,khusus mahasiswa
111,hi kakak
112,hi kakak tahap pretest validasi tahap konfirmasi lolos pretest email lgsng seleksi platform
113,platform kampus merdeka kakak
114,umum platform kampus merdeka kakak
115,terima
116,kakak
118,terjawwb kakak
119,what language is it
120,bahasa
121,permisi kakak izin daftar kampus merdeka tanggal kakak
122,hi dear tanggal januari
123,halo kakak tahap tes seleksi
124,jam ajar kakak
125,hi kakak proses seleksi liput seleksi administrasi pretest uji paham terkair jalur ajar pilih konfirmasi platform uji wwawasan kebhinekaan umum final terima kasih
126,hi kakak laksana layak kuliah senin sd jumat jam variasi pkl sd terima kasih
127,umum tes min daftar kirim min
128,iya ikut data analyst syarat khusus spesifikasi laptop jurus mata kuliah ditempug
129,terima kasih kakak
130,permisi kakak proses seleksi informasi email daftar website mbkm status proses
131,halo kakak daftar platform kampus merdeka email pretest lulus administrasi
132,proses seleksi dimulaimenunggu batas daftar tanggal
133,info lanjut
134,hi kakak seleksi parallel administrasi uji tahu dasarterima kasih
135,hi kakak mohon tunggu kakak
136,hi kakak mohon tunggu iya
137,hi kakak mohon tunggu informasi
138,hi kakak kakak syarat dukung lancar sertifikasi internasional
139,terimakasih info kakak
140,hi kakak kirim via email shg mohon periksa emaik abik inbox spam terima kasih
141,kakak terimakasih informasi
142,halo kakak izin daftar posisi email pretest isi duaduanya link pretesnya apaapa kakak
143,izin admin email pretest posisi salah satu
144,mac osx monterey aman kakak
145,email mohon cerah min
146,hi kakak cukul posisi lamar sila sesuai jalur ajar lamar terima kasih
147,min kirim kerja masalah min
148,kakak
149,izin min daftar email test survei kebhinekaan
150,hi dear berkas sptjmsr sesuai pretest kirim tanggal januari kemarin mohon pasti periksa folder spam promosi terima kasih
151,terimakasih konfirmasi email pemberitahuan apa cek berkas terimakasih
152,mohon izin kakak konfirmasi platform kakak
153,admin tolong baca pesan
154,uang saku program min
155,keren banget daftar deh
156,what language is it
157,hallo kakak tahap seleksi jadwal ajar
158,hi kakak tahap seleksi liput seleksi administrasi lanjut pretest tahu dasar nyata softskill and plan for future umum jadwal kakak prinsip laksana persis kuliah uts uas program mnggantikan aktivitas kuliah semester konversi sks terima kasih
159,hallo kakak kuliah matkul wajib ambil
160,hi dear matkul wajib ambil boleh catat sks konversi
161,hi kakak daftar buka sd januari saran daftar ikut seleksi tahap terima kasih
162,kakak panjang daftar
163,certificate data certificate min
164,kakak studi independen batch buka
165,hi kakak buka kakak sila daftar taut terima kasih
166,hi kakak kakak salah terima kasih
167,astagfirullah batesnya januari min balas januari
168,min baik web lowong kmren tercantoll tambah ijazah
171,hi coba unggah berkas maksud mohon pesan nama lengkap terimakasih
173,min lowong kmren proses terima tolong tolak ngedit ijazah
174,min email mari ajar logout login ngak minmohon informasi
175,hi kakak akun maribelajar non aktif
176,baik file simpan situ min sertif yamg unduh pemberitahuan nonaktif bantu
177,hi kakak mohon periksa pesan kait sertifikat unduh signin
178,mahasiswa
179,hi kakak boleh
180,sertifikat
181,hallo kakak sertifikat serta ikut challenge
182,moga lolos
183,umum
184,kakak
185,kakak lolos lolos email
186,memang tes uman
187,tes tanggal
188,permisi lolos kelompok cakap
189,bantu kakak
190,terimakasih infony
191,kakak lolos rekening
192,halo kakak kakak lolos program studi independen kakak
193,info lolos kakak
194,parah banget pilih rangin tanggungjawab tolak tmpt knpa tibatiba rangin nyata lolos
195,kakak
197,reportttt susah
198,parahh banget iniii
199,hi admin sedih kecewa kurang kuota tolak tawar isi krs harap umum batal rencana terima kasih
200,mohon lolos tibatiba lolos
201,lolos
202,lolos kakak
203,rezeki kakak
204,izin kakak email lolos
205,kakak tes tanggal
206,tanggal juli kakak info
207,kemarin tanggal agustus kakak info
208,pagi min terima email masuk telegram min isi formulir loa
209,izin kemarin tanggal isi loa survey kebhinekaan umum
210,hallo min izin mahasiswa lolos gabung kelompok program jalan arah mohon balas iya
211,halo admin program studi idependen cloud administrator grub telewams team akun kampus merdeka giat lapor hari coba cakap wa dibales
212,maribelajar respon lari tanggung niat program kampusmerdeka mending gabung kasihan mahasiswa digantungin
213,siang admin lolos studi independen microsoft application maker kelompok informasi
214,data analist kelompok
215,lolos data analyst kakak lanjut
216,tunggu email pesan dibales
217,info email data analytic
218,hai dear cek email kirim informasi baru
219,hai dear informasi kelompok email mohon cek
220,hai dear mohon cek email kirim informasi baru
221,hallo dear mohon luncur email kirim id masuk kelompok
222,hallo kakak program on boarding nasional cek email informasi
223,terima khusus program data analyst
224,cari teman program
225,data analysts
226,data analyst info iya
228,lihat jadwal ajar jam cycle batch
229,halo min info kait laksana program studi independen jalur data analysts kirim email kait laksana program
230,kakak twibbon selebrasi mbkm cycle sib mitra
231,umum cycle batch program cloud administrator umum detik email apa mohon informasi
232,moga lolos
233,pretest tes min
234,ngerjain pretest info kirakira min
235,umum diterimatidaknya pretest diberitahukan email kakak
236,pretest umum kakak
237,mohon maaf kakak ikut pretest minggu umum lolos tidak kakak
238,moga lolos
239,kakak ikut pretestnya
240,kakak info tahap
241,daftar pathway kakak
242,kakak pasti info terima pretest
243,microsoft batch kakak
244,umum kah
245,kakak tunggu
246,moga lolos
247,halo selamat sore bapakibu kenal salsabilla putri arista member mari ajar microsoft msib angkat kampus merdeka izin kait sertifikat maribelajar angkat akses bagaiamana download sertifikat bapakibu terimakasih
248,cek pesan
249,daftar email test kakak
250,hallo kakak mohon cek email kala tahap proses seleksi berkas
251,bach intteligence cloud cloud ambil program yya kakak beda program kakak
252,min
253,kakak daftar status daftar kakak
254,admin link pre test msib cycle buka link
256,jadwal hari lihat mana min
257,jadwal kelas pagimalam min
258,nunggu msib min
259,tunggu informasi
260,waww tingkyuu min
261,maribelajar buka studi independen min nunggu banget tanggal buka track harepin
262,banget
263,cek pesan kakak
264,hallo kakak buka daftar studi independen cycle lupa daftar jumpa kelas
265,done kakak
266,min komennya limit min vibicloud
267,pertamax pertamaxx
268,career maribelajar
269,sedia jenjang didik kakak
270,ijazah daftar
271,wahh mantap lupa kunjung profil iya
272,halo kakak admin daftar april daftar kah
273,halo kakak email tunggu kakak
274,hallo kakak daftar gelombang daftar cek email kala informasi bagi kelas
275,kakak terima kasih kakak
276,keren
278,keren selamat menang
279,mantapp
280,terima kasih tuhan kari
282,bayar gratis kakak
283,gratis kakak
284,uang saku tulis juta bulan ubah ribu bulan
285,hallo kakak lupa ikut jelas kait uang saku besok iya
286,review batch mari ajar
291,min tolong cek pesan
292,done kakak
293,hai admin tolong cek pesan
294,angka romawi angka min tata letak guna banget skripsi reels
295,hi kakak terima kasih masuk tampung
296,batch kemarin program modern productivity bantu banget ikut studi independent skripsianthankyou maribelajar
297,pakai daftar isi
298,tutor suhu
299,aduh kalah suhu
300,min tnya mngenai sptjm msib format ganti ckup nama ybs kop surat
301,dengar papar materi ttd wakil rektor sptjm digital respon kampus tuntut
302,super bantu min
307,tnya min sptjm wkil direktur mahasiswa maksud wakil rektor wakil dekan
308,yeay
309,hi kakak tanda tangan level universitas kakak wakil rektor
310,ringan wakil dekan sj min warek susah lumayan susah temu ddline februari batas up berkas
311,periode giat kontrak masuk min feb juni
312,iyaa banget was
313,permisi kakak surat rekomendasi ditandatangani kaprodi dekan fakultas mohon konfirmasi terima kasih
314,min silabuscapaian program min
315,hi kakak besok bagi kelas virtual terimakasih
316,hi kakak
317,hi kakak kait masalah langsng hubung kampus merdeka via tawkto pop up cakap platform sembari masalah kampus merdeka terimakasih
318,kakak terimakasih
319,min nonton ulang onboarding mana
320,min umum lolos daftar terang seleksi
321,halo kakak izin pic kampus perlu konfirmasi konversi sks
322,hi kakak kirim progress ajar mhasiswa shg termonitoring kampus terimakasih
323,mohon maaf kakak izin nama email nomor hp pic kampus teman terimakasih
324,halo kakak admin orang
325,hi kakak syafa kenan kakak sila daftar
326,min tolong cek pesan terimakasih
327,oke kakak
328,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih
329,maksud
330,halo kakak surat nyata tanggung mutlak unduh website maribelajarcoid
331,oke kakak mohon maaf repot
332,halo min tolong cek pesan
333,min gmail kait ikut on boarding arti kirim
334,jam kerja min sayang relaynya youtube
335,halo min tolong cek pesan iya terima kasih
336,halo min tolong cek pesan terima email undang on boarding akun microsoft jalur daftar terimakasih
337,hi kakak abai email email sesuai jalur ajar kakak pilih kirimkanterima kasih
338,hi kakak sila cek email
339,cek pesan min tolong
340,kolom data pic kampus form kumpul dokumen adminstratif koordinator mbkm universitas min dosen bimbing mbkm terimakasih
341,hi kakak bimbing saran isi pic kampus
342,kakak terimakasih info
343,hi kakak kemarin isi angka kolom no hp pic kampus form maribelajar kumpul sptjm surat rekomendasi coba kakak angka terimakasih
344,oh iya kakak terima kasih iya kakak jawab manfaat sukses kakak
345,nyata lolos maribelajar web kampus merdeka seleksi
346,halo min izin umum pretest email umum lolostidaknya terima kasih
347,halo kakak surat rekomendasi format email minta surkom paham beda surkom daftar
348,serta surkom daftar unggah lolos format kampus kakak
349,kakak umum
350,oh okeokeee terimakasih kakak
351,min pretes tanggal januari kemarin info lulus hasil pretes min
352,cepat banget info hmm
353,kakak email
354,kakak
355,kakak email umum hasil pretes
356,jugaa
357,kakak pre test tanggal kah
358,btw unofficial kakak
359,gabung
360,mana kakak pesan
361,ayo siniii
362,daftar tanggal kakterus email pretes tanggal kakak
363,iya kakak kemarin email umum jadwal pretes tanggal tanggal kirim pretes kakak umum hasil pretes lolos
364,kakak daftar tanggal januari
365,amin rabbalalamiin
366,moga lolos kakak
367,amin kakak
368,jadwal ajar diberitahukan kelas kakak
369,ambil tawar gadisuruh unggah surat rekomendasi belah unggah surat daftar
370,gabung
371,pesan kakak
372,daftar wajib unggah
373,izin konversi mata kuliah program studi independen selesai jalan
374,permisi lolos maribelajar tolong info group whatsapptelegramnya terimakasih
375,kelompok wa unoff
376,hai kakak pretes tanggal januari email
377,kakak daftar modern educator track
378,masuk kakak pesan
379,iya kakak
380,hai teman teman test tanggal januari ada umum lulus
381,sore kakak
382,halo kakak maaf jbjb gabung kelompok wa kakak
383,pesan kakak
384,gabung kakak
385,masuk kakak
386,pesan kakak
387,miin koo gabisa tanggal sesuai jadwal baru tanggal sesuai jadwal kontrak mohon bantu min
388,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih
389,halo kakak gabung
390,pesan kakak
391,kakak
392,halo kakak lolos nihh gabung grup kakak pesan kakak
393,kakak
394,daftra daftar kemarin
395,cek email kala kakak
396,izin min minggu kelas
397,izin min ikut pretest selasa sampek jumat notifikasi mohon cerah min
398,izin min umum hasil kelulus min terimakasih
399,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih
400,semesester daftar kakak
401,udahhh sabar
402,minimal semester program studi independen kakak
403,kakak umum kakak tes setelaj daftar
404,met syarat spek laptop software baca situ ajar office kakak
405,halo kakak daftar tutup coba daftar barusan
406,learning track intelligence cloud track materi data batch batch advance
407,umum
408,jadwal ajar jambrpa min
409,pathwaylearning track sertifikasi min terimakasih
410,learning track modern educator track milik laptop spesifikasi
411,minimal office kakak
412,min logo certification modern worker track
413,hai kakak min acc information worker track mbkm apaya kakak min
415,titip yasoanya kendalanyaa acc info
416,iya ayo up kakak min tanggapin
417,office kakak
418,bantu install tutor ytb
419,takut baja
420,syedih kitaa
421,office luar tulis akun office officenyaa
422,titip
423,kakak ict spesifikasi laptop kakak model
424,ayo up ayo
425,kakak ict spesifikasi laptop kakak model
426,titip gez
427,iwt kah min minimal iya besok terima program
428,halo kakak kabar acc
429,hallobisa pesan iya
430,registrasi kakak
431,sistem konversi sks kakak konversi full sks
432,min batch uang saku min program studi independen terimakasih
433,minimal semester brapa min
434,minimal semester program studi independen kakak
435,tanggal januari daftar diri
436,min daftar giat maribelajar
437,siaap kakak
438,min ajar hari jam jam
439,umum kakak
440,min langsung apply test
441,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih
